Timestamp,duration,left_sensor1,left_sensor2,left_sensor3,left_sensor4,left_sensor5,right_sensor1,right_sensor2,right_sensor3,right_sensor4,right_sensor5,left_stride_F,left_balance_x,left_balance_y,right_stride_F,right_balance_x,right_balance_y,body_COP_x,body_COP_y
16:01.5,1,4,9,0,5,0,459,399,563,579,318,4,-9,4,473,164,155,1361,160
16:01.5,1,10,9,0,6,0,459,399,563,579,318,6,-9,6,473,164,155,1358,162
16:01.5,1,8,10,0,5,0,459,399,563,579,318,6,-10,6,473,164,155,1359,161
16:01.5,1,8,10,0,5,0,457,389,577,588,225,6,-10,6,474,188,249,1276,255
16:01.6,2,8,10,0,5,0,442,394,589,592,152,6,-10,6,475,195,323,1208,329
16:01.6,2,4,11,0,5,0,442,394,589,592,152,5,-11,5,475,195,323,1209,328
16:01.6,2,0,9,0,6,0,442,394,589,592,152,3,-9,3,475,195,323,1210,326
16:01.6,2,0,9,0,6,0,431,408,598,596,87,3,-9,3,479,190,392,1153,395
16:01.7,2,0,9,0,6,0,432,429,606,596,33,3,-9,3,489,177,456,1109,459
16:01.7,2,0,7,0,1,0,432,429,606,596,33,2,-7,2,489,177,456,1114,458
16:01.7,2,0,7,0,1,0,458,456,612,591,24,2,-7,2,508,156,484,1120,487
16:01.7,2,0,5,0,6,0,458,456,612,591,24,1,-5,1,508,156,484,1116,486
16:01.8,2,0,5,0,6,0,491,482,619,573,17,1,-5,1,530,137,513,1112,515
16:01.8,2,0,7,0,11,0,491,482,619,573,17,2,-7,2,530,137,513,1107,516
16:01.8,2,0,7,0,11,0,521,503,625,534,8,2,-7,2,549,122,541,1078,544
16:01.8,2,0,7,0,11,0,545,505,627,390,7,2,-7,2,559,122,552,942,554
16:01.9,2,0,3,4,11,211,545,505,627,390,7,2,1,-208,559,122,552,731,343
16:01.9,2,0,8,28,20,413,545,505,627,390,7,12,20,-401,559,122,552,511,151
16:01.9,2,0,8,28,20,413,562,472,619,127,3,12,20,-401,551,147,548,236,147
16:01.9,2,0,14,197,92,473,562,472,619,127,3,70,183,-402,551,147,548,45,145
16:01.9,2,0,14,197,92,473,562,428,567,0,5,70,183,-402,519,139,514,-111,111
16:02.0,2,89,73,462,204,495,562,428,567,0,5,208,389,-287,519,139,514,-383,227
16:02.0,2,89,73,462,204,495,547,402,444,0,10,208,389,-287,464,42,454,-432,167
16:02.0,2,311,95,547,231,516,547,402,444,0,10,317,452,-198,464,42,454,-590,256
16:02.0,2,311,95,547,231,516,419,371,318,0,10,317,452,-198,369,-53,359,-685,161
16:02.1,2,394,156,580,300,530,419,371,318,0,10,376,424,-153,369,-53,359,-827,206
16:02.1,2,394,156,580,300,530,203,188,144,0,12,376,424,-153,178,-44,166,-1016,13
16:02.1,2,444,206,598,363,533,203,188,144,0,12,416,392,-117,178,-44,166,-1121,49
16:02.1,2,444,206,598,363,533,25,28,8,0,11,416,392,-117,20,-20,9,-1280,-107
16:02.1,2,472,255,612,399,525,25,28,8,0,11,446,357,-78,20,-20,9,-1339,-69
16:02.2,2,472,255,612,399,525,0,0,0,0,2,446,357,-78,0,0,-2,-1368,-80
16:02.2,2,485,291,625,420,507,0,0,0,0,2,467,334,-40,0,0,-2,-1392,-42
16:02.2,2,485,291,625,420,507,0,0,0,0,1,467,334,-40,0,0,-1,-1393,-41
16:02.2,2,497,312,631,432,480,0,0,0,0,1,480,319,0,0,0,-1,-1391,-1
