เซ็นทรัลฟู้ดรีเทล บจ. สาขาพระราม 2  ,160 ถ.พระรามที่ 2 ,แขวงแสมดำ ,เขตบางขุนเทียน ,กรุงเทพมหานคร ,10150,00053,54
เซ็นทรัลฟู้ดรีเทล บจ. สาขาบางแค  ,615 ถ.เพชรเกษม ,แขวงบางหว้า ,เขตภาษีเจริญ ,กรุงเทพมหานคร ,กรุงเทพมหานคร ,00263,114
เซ็นทรัลฟู้ดรีเทล บจ. สาขาลาดพร้าว  ,1697 ถ.พหลโยธิน  ,แขวงจตุจักร , เขตจตุจักร  ,กรุงเทพมหานคร ,10900,00014,12
เซ็นทรัลฟู้ดรีเทล บจ. สาขาพระราม 9  ,9/8-9 ห้องเลขที่ B28 ชั้นที่ B ถ.พระราม 9 ,แขวงห้วยขวาง ,เขตห้วยขวาง ,กรุงเทพมหานคร ,10310,00254,110
เซ็นทรัลฟู้ดรีเทล บจ. สาขาปิ่นเกล้า  ,7/1 ถ.บรมราชชนนี  ,แขวงอรุนอมรินทร์ ,เขตบางกอกน้อย ,กรุงเทพมหานคร ,10700, 00018,711
เซ็นทรัลฟู้ดรีเทล บจ. สาขาแจ้งวัฒนะ  ,99/99 ห้องเลขที่ จีแอล-พี/02 ชั้นบี ม.2  ,ต.บางตลาด ,อ.ปากเกร็ด ,จ.นนทบุรี ,11120,00134,539
เซ็นทรัลฟู้ดรีเทล บจ. สาขาเวสท์เกท 1  ,"199 , 199/1 , 199/2 ม.6  ",ต.เสาธงหิน ,อ.บางใหญ่ ,จ.นนทบุรี ,11140,00347,156
เซ็นทรัลฟู้ดรีเทล บจ. สาขาศรีสมาน  ,99 ม.1 ,ต.บ้านใหม่ ,อ.ปากเกร็ด ,จ.นนทบุรี ,11120,00353,163
เซ็นทรัลฟู้ดรีเทล บจ. สาขารังสิต  ,94 ถ.พหลโยธิน  ,ต.ประชาธิปัตย์  ,อ.ธัญบุรี  ,จ.ปทุมธานี  ,12130,00008,8
เซ็นทรัลฟู้ดรีเทล บจ. สาขาไอคอนสยาม,"โซกู๊ด วิสาหกิจเพื่อสังคม จำกัด
เลขที่ 30/2 หมู่ 13 

",ตำบลหนองรี ,อำเภอเมืองชลบุรี ,จังหวัดชลบุรี ,20000,,
ริมปิงนวรัฐ  ,ถนนเชียงใหม่-ลำพูน ,ตำบลวัดเกต  ,อำเภอ เมือง ,เชียงใหม่ ,50000,003,3
ริมปิงมีโชค  ,,ตำบล ฟ้าฮ่าม ,อำเภอเมืองเชียงใหม่ ,เชียงใหม่ ,50300,021,21
ริมปิงแอร์พอร์ต (สำนักงานใหญ่),,,,,,,
ริมปิงเมญ่า ส ,,,,,,27,27
ริมปิงกาดฝรั่ง  ,,,,,,22,22
ริมปิงมะลิเพลส  ,,,,,,26,26
เซ็นทรัลฟู้ดรีเทล บจ. สาขาภูเก็ต เฟสติวัล  ,74 ม.5 ,ต.วิชิต ,อ.เมืองภูเก็ต ,จ.ภูเก็ต ,83000,00056,56
เซ็นทรัลฟู้ดรีเทล บจ.  ,22 ถนนเพลินจิต ,แขวงลุมพินี,เขตปทุมวัน ,กรุงเทพมหานคร ,10330,00013,13
เซ็นทรัลฟู้ดรีเทล บจ. สาขาอีตไทย เซ็นทรัลแอมบาสซี่   ,1031 ถนนเพลินจิต ,แขวงลุมพินี ,เขตปทุมวัน ,กรุงเทพมหานคร ,10330,00303 ,303
เซ็นทรัลฟู้ดรีเทล บจ. สาขาภูเก็ต ฟลอเรสต้า  ,199 หมู่ที่ 4 ,ตำบลวิชิต ,อำเภอเมืองภูเก็ต ,จังหวัดภูเก็ต ,83000,00496,436
เซ็นทรัลฟู้ดรีเทล บจ. สาขาพัทยา บีช  ,333/99  ชั้นจี หมู่ที่ 9 ,ต.หนองปรือ ,อ.บางละมุง ,จ.ชลบุรี ,20260,00136,
