Timestamp,duration,left_1,left_2,left_3,left_4,left_5,right_1,right_2,right_3,right_4,right_5,FL,LX,LY,FR,RX,RY,Cop_X,Cop_Y
21:11.3,16.8,95,38,90,22,83,451,622,563,435,150,64,52,-19,592,-59,442,1008,423
21:11.3,16.8,95,38,90,22,83,476,628,572,373,56,64,52,-19,600,-56,544,860,525
21:11.3,16.8,65,58,72,23,311,476,628,572,373,56,65,14,-246,600,-56,544,630,298
21:11.3,16.8,65,55,58,22,553,476,628,572,373,56,56,3,-496,600,-56,544,397,47
21:11.4,16.9,65,55,58,22,553,506,625,564,267,67,56,3,-496,594,-61,527,297,31
21:11.4,16.9,83,169,63,138,574,506,625,564,267,67,116,-106,-458,594,-61,527,100,69
21:11.4,16.9,83,169,63,138,574,520,549,531,103,64,116,-106,-458,540,-18,476,-121,18
21:11.4,16.9,83,169,63,138,574,517,459,418,83,69,116,-106,-458,438,-41,369,-237,-88
21:11.5,17,189,235,150,202,590,517,459,418,83,69,192,-85,-397,438,-41,369,-394,-28
21:11.5,17,189,235,150,202,590,418,360,250,83,78,192,-85,-397,305,-110,227,-518,-170
21:11.5,17,256,252,203,255,597,418,360,250,83,78,227,-49,-369,305,-110,227,-613,-142
21:11.5,17,312,277,258,313,593,418,360,250,83,78,267,-19,-325,305,-110,227,-707,-98
21:11.5,17,312,277,258,313,593,191,213,185,68,92,267,-19,-325,199,-28,107,-814,-218
21:11.6,17.1,312,277,258,313,593,102,135,171,63,102,267,-19,-325,153,36,51,-855,-274
21:11.6,17.1,372,327,322,363,584,102,135,171,63,102,324,-5,-259,153,36,51,-953,-208
21:11.6,17.1,372,327,322,363,584,104,153,137,53,126,324,-5,-259,145,-16,19,-947,-240
21:11.6,17.1,397,381,359,394,572,104,153,137,53,126,370,-22,-202,145,-16,19,-1012,-183
21:11.7,17.2,397,381,359,394,572,90,160,108,36,130,370,-22,-202,134,-52,4,-1036,-198
21:11.7,17.2,421,406,404,425,547,90,160,108,36,130,405,-2,-142,134,-52,4,-1077,-138
21:11.7,17.2,440,418,430,438,512,90,160,108,36,130,424,12,-88,134,-52,4,-1074,-84
21:11.7,17.2,440,418,430,438,512,88,168,86,22,133,424,12,-88,127,-82,-6,-1092,-94
21:11.8,17.3,440,418,430,438,512,86,169,69,17,125,424,12,-88,119,-100,-6,-1113,-94
21:11.8,17.3,453,425,450,445,471,86,169,69,17,125,437,25,-33,119,-100,-6,-1092,-39
21:11.8,17.3,467,432,471,459,427,86,169,69,17,125,451,39,24,119,-100,-6,-1076,18
21:11.8,17.3,467,432,471,459,427,82,170,66,13,121,451,39,24,118,-104,-3,-1085,21
21:11.9,17.4,467,432,471,459,427,82,172,58,7,122,451,39,24,115,-114,-7,-1093,17
21:11.9,17.4,482,437,486,470,376,82,172,58,7,122,461,49,85,115,-114,-7,-1063,78
21:11.9,17.4,497,446,506,473,328,82,172,58,7,122,476,60,148,115,-114,-7,-1033,141
21:11.9,17.4,497,446,506,473,328,80,171,52,7,121,476,60,148,111,-119,-9,-1037,138
21:11.9,17.4,497,446,506,473,328,78,142,64,0,224,476,60,148,103,-78,-121,-950,27
21:11.9,17.4,515,453,532,452,206,78,142,64,0,224,492,79,286,103,-78,-121,-823,165
21:12.0,17.5,524,454,549,390,105,78,142,64,0,224,501,95,396,103,-78,-121,-669,275
21:12.0,17.5,524,454,549,390,105,78,130,111,0,537,501,95,396,120,-19,-416,-339,-20
21:12.0,17.5,521,438,543,293,96,78,130,111,0,537,490,105,394,120,-19,-416,-222,-22
21:12.0,17.5,521,438,543,293,96,45,251,220,12,549,490,105,394,235,-31,-313,-83,81
21:12.1,17.6,521,438,543,293,96,27,365,275,53,528,490,105,394,320,-90,-208,21,186
21:12.1,17.6,514,339,501,193,102,27,365,275,53,528,420,162,318,320,-90,-208,186,110
21:12.1,17.6,489,216,351,131,111,27,365,275,53,528,283,135,172,320,-90,-208,375,-35
21:12.1,17.6,489,216,351,131,111,97,419,299,101,532,283,135,172,359,-120,-173,466,0
21:12.2,17.7,288,167,225,126,112,97,419,299,101,532,196,58,84,359,-120,-173,558,-89
